title,company,location,description,salary,apply_url,posted_date,source,job_id,search_city,scraped_at,search_query,job_category
Data Analyst (m/w/d),GEMA – Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte,Berlin,Für unsere Abteilung Daten & Analyse in der Direktion Lizenzierung & Verteilung Aufführungsrechte am Standort Berlin suchen wir zum nächstmöglichen Zeitpunkt eine/-n Data Analyst (m/w/d) in Vollzeit (40 Stunden/Woche).,Not specified,https://www.gema.de/de/w/data-analyst-mwd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,Google Jobs,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgKG0vdy9kKSIsImNvbXBhbnlfbmFtZSI6IkdFTUEg4oCTIEdlc2VsbHNjaGFmdCBmw7xyIG11c2lrYWxpc2NoZSBBdWZmw7xocnVuZ3MtIHVuZCBtZWNoYW5pc2NoZSBWZXJ2aWVsZsOkbHRpZ3VuZ3NyZWNodGUiLCJhZGRyZXNzX2NpdHkiOiJCZXJsaW4iLCJodGlkb2NpZCI6InFtTlpWQXdXeUtRUmw5V0xBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lPUW1WeWJHbHVMRWRsY20xaGJuayIsImdsIjoiZGUiLCJobCI6ImVuIn0=,"Berlin, Germany",2025-10-26 12:02:51,data analyst,Data Analyst
Data Analyst,mrge-group-gmbh,Berlin,"Looking for an exciting challenge?

Mrge is an intelligent platform for commerce advertising, connecting over 5,500 publishers and 55,000 advertisers across 160+ countries. It integrates advanced tools and technologies to bring ads closer to content, creating value for publishers, advertisers, and u...",Not specified,https://de.indeed.com/viewjob?jk=ab5f97415db118f4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,16 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJtcmdlLWdyb3VwLWdtYmgiLCJhZGRyZXNzX2NpdHkiOiJCZXJsaW4iLCJodGlkb2NpZCI6Im5tX1h3NXNHVmgyNGtrRV9BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lPUW1WeWJHbHVMRWRsY20xaGJuayIsImdsIjoiZGUiLCJobCI6ImVuIn0=,"Berlin, Germany",2025-10-26 12:02:51,data analyst,Data Analyst
Data Analyst (m/w/d) Girokonto,S-Payment GmbH - Ein Unternehmen der DSV-Gruppe,Stuttgart,"Du möchtest das Bezahlen der Zukunft mitgestalten und verändern? Dann werde Teil unseres Teams bei der S-Payment!

Die S-Payment gehört zur DSV-Gruppe und ist der Taktgeber für alle Payment-Themen in der Sparkassen-Finanzgruppe. Wir erkennen Trends, setzen neue Impulse und bringen die Sparkassen mit...",Not specified,https://www.stepstone.de/stellenangebote--Data-Analyst-m-w-d-Girokonto-Stuttgart-S-Payment-GmbH-Ein-Unternehmen-der-DSV-Gruppe--13169644-inline.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,4 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgKG0vdy9kKSBHaXJva29udG8iLCJjb21wYW55X25hbWUiOiJTLVBheW1lbnQgR21iSCAtIEVpbiBVbnRlcm5laG1lbiBkZXIgRFNWLUdydXBwZSIsImFkZHJlc3NfY2l0eSI6IlN0dXR0Z2FydCIsImh0aWRvY2lkIjoiQlZveEctai14ZjE2T3VHc0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSWpVM1IxZEhSbllYSjBMRUpoWkdWdUxWZDFjblIwWlcxaVpYSm5MRWRsY20xaGJuayIsImdsIjoiZGUiLCJobCI6ImVuIn0=,"Stuttgart, Germany",2025-10-26 12:02:52,data analyst,Data Analyst
Data Analyst Marketing (m/w/d) - Online Shop,Lidl Stiftung & Co KG,Stuttgart,"Deine Aufgaben

Als Data Analyst Marketing (m/w/d) bist du verantwortlich für die Evaluierung und Weiterentwicklung von Geschäftsprozessen des Lidl Onlineshops.
konkret heißt das:
• Unterstützung des Fachbereichs bei aussagekräftigen Analysen, um die strategische Ausrichtung zu steuern und zu evalui...",Not specified,https://salutemyjob.com/jobs/data-analyst-marketing-m-w-d-online-shop-stuttgart-baden-wurttemberg/2423999759-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,3 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgTWFya2V0aW5nIChtL3cvZCkgLSBPbmxpbmUgU2hvcCIsImNvbXBhbnlfbmFtZSI6IkxpZGwgU3RpZnR1bmcgXHUwMDI2IENvIEtHIiwiYWRkcmVzc19jaXR5IjoiU3R1dHRnYXJ0IiwiaHRpZG9jaWQiOiJiMUc5Nm04dnFWSXZ1V0dPQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJalUzUjFkSFJuWVhKMExFSmhaR1Z1TFZkMWNuUjBaVzFpWlhKbkxFZGxjbTFoYm5rIiwiZ2wiOiJkZSIsImhsIjoiZW4ifQ==,"Stuttgart, Germany",2025-10-26 12:02:52,data analyst,Data Analyst
Business Analyst  (m/w/d),Hays Professional Solutions,Bavaria,"Gestaltung marktkonformer Produktlösungen in enger Abstimmung mit den Fachbereichen – mit Fokus auf standardisierte und effiziente ProzesseErhebung und strukturierte Dokumentation fachlicher Anforderungen in Confluence, auf Netzlaufwerken sowie in Form von Prototypen und User Stories / Entwicklung v...",Not specified,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-business-analyst--muenchen-oder-remote-845139/1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,5 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBBbmFseXN0ICAobS93L2QpIiwiY29tcGFueV9uYW1lIjoiSGF5cyBQcm9mZXNzaW9uYWwgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiQmF2YXJpYSIsImh0aWRvY2lkIjoiNi1EelJnLVNidENxblUtdUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUWFZ1YVdOb0xFSmhkbUZ5YVdFc1IyVnliV0Z1ZVEiLCJnbCI6ImRlIiwiaGwiOiJlbiJ9,"Munich, Germany",2025-10-26 12:02:54,business analyst,Business Analyst
"Sales Enablement Business Analyst, Senior Associate (m/f/d) | Munich, DE",State Street Corporation,Munich,"Who we are looking for
State Street's Relationship Management/Sales Enablement organization is seeking to fill a Business Analyst role. The role will have exposure to the development of prospective/existing client strategy, assisting in deal structuring support, and crafting presentations, and provi...",Not specified,https://www.efinancialcareers.de/jobs-Germany-Munich-Sales_Enablement_Business_Analyst_Senior_Associate_mfd.id23348372?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJTYWxlcyBFbmFibGVtZW50IEJ1c2luZXNzIEFuYWx5c3QsIFNlbmlvciBBc3NvY2lhdGUgKG0vZi9kKSB8IE11bmljaCwgREUiLCJjb21wYW55X25hbWUiOiJTdGF0ZSBTdHJlZXQgQ29ycG9yYXRpb24iLCJhZGRyZXNzX2NpdHkiOiJNdW5pY2giLCJodGlkb2NpZCI6IjhnWEZfWVBYYmFQNDM4cjRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVFhWdWFXTm9MRUpoZG1GeWFXRXNSMlZ5YldGdWVRIiwiZ2wiOiJkZSIsImhsIjoiZW4ifQ==,"Munich, Germany",2025-10-26 12:02:54,business analyst,Business Analyst
Entwickler | Data Scientist | Quant – Financial Markets (m/w/d)*,Bankhaus Metzler,Frankfurt am Main,"Weiterkommen mit Eigen-Sinn – wir suchen Sie

Sie haben Ihren eigenen Kopf, sind leistungsbereit und stellen hohe Ansprüche an sich und Ihre Arbeit? Sie sind Teamplayer, wollen gestalten, etwas bewegen und Ihre Ideen verwirklichen?

Dann sind Sie bei uns genau richtig: Verstärken Sie unser Metzler D...",Not specified,https://www.metzler.com/en/metzler/careers/job-vacancies/job-detail/job/Festanstellungen/MET-2510-0002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,5 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJFbnR3aWNrbGVyIHwgRGF0YSBTY2llbnRpc3QgfCBRdWFudCDigJMgRmluYW5jaWFsIE1hcmtldHMgKG0vdy9kKSoiLCJjb21wYW55X25hbWUiOiJCYW5raGF1cyBNZXR6bGVyIiwiYWRkcmVzc19jaXR5IjoiRnJhbmtmdXJ0IGFtIE1haW4iLCJodGlkb2NpZCI6Ik92R282ZnQzMmxGcG9zcm5BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lZUm5KaGJtdG1kWEowTEVobGMzTmxiaXhIWlhKdFlXNTUiLCJnbCI6ImRlIiwiaGwiOiJlbiJ9,"Frankfurt, Germany",2025-10-26 12:03:15,data scientist,Data Scientist
Data Engineer/Data Scientist Trade Control m/w/d,DZ BANK AG,Frankfurt am Main,"Das erwartet Sie
• Als Data Engineer / Data Scientist (m/w/d) erstellen Sie Geschäftsanalysen und bringen sich sowohl in die Wartung als auch Weiterentwicklung einer umfassenden Python-Bibliothek für den internen Einsatz ein.
• Mit analytischem Weitblick automatisieren Sie Kontrollprozesse und optim...",Not specified,https://jobs.dzbank.de/job/Frankfurt-am-Main-Data-EngineerData-Scientist-Trade-Control-mwd/1249466601/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,8 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJEYXRhIEVuZ2luZWVyL0RhdGEgU2NpZW50aXN0IFRyYWRlIENvbnRyb2wgbS93L2QiLCJjb21wYW55X25hbWUiOiJEWiBCQU5LIEFHIiwiYWRkcmVzc19jaXR5IjoiRnJhbmtmdXJ0IGFtIE1haW4iLCJodGlkb2NpZCI6IkFnMDRhdHRmc1hzVlNqMUlBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lZUm5KaGJtdG1kWEowTEVobGMzTmxiaXhIWlhKdFlXNTUiLCJnbCI6ImRlIiwiaGwiOiJlbiJ9,"Frankfurt, Germany",2025-10-26 12:03:15,data scientist,Data Scientist
Advanced BI Analyst / Requirements Engineer (m/w/d) – Data & AI in der Versicherungsbranche,Generali Deutschland AG,Munich,"Generali Deutschland AG

Advanced BI Analyst / Requirements Engineer (m/w/d) – Data & AI in der Versicherungsbranche
in bundesweit

Überblick

Die Generali ist eine der führenden Erstversicherungsgruppen im deutschen Markt. Als Teil der internationalen Generali Group ist die Generali in Deutschland ...",Not specified,https://www.stepstone.de/stellenangebote--Advanced-BI-Analyst-Requirements-Engineer-m-w-d-Data-AI-in-der-Versicherungsbranche-bundesweit-Generali-Deutschland-AG--13170631-inline.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,4 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJBZHZhbmNlZCBCSSBBbmFseXN0IC8gUmVxdWlyZW1lbnRzIEVuZ2luZWVyIChtL3cvZCkg4oCTIERhdGEgXHUwMDI2IEFJIGluIGRlciBWZXJzaWNoZXJ1bmdzYnJhbmNoZSIsImNvbXBhbnlfbmFtZSI6IkdlbmVyYWxpIERldXRzY2hsYW5kIEFHIiwiYWRkcmVzc19jaXR5IjoiTXVuaWNoIiwiaHRpZG9jaWQiOiItb3FGZHlpeUtnSzNMNThJQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RYVnVhV05vTEVKaGRtRnlhV0VzUjJWeWJXRnVlUSIsImdsIjoiZGUiLCJobCI6ImVuIn0=,"Munich, Germany",2025-10-26 12:03:36,business intelligence analyst,Business Intelligence Analyst
Business Intelligence / Data Analyst (m/w/d) im Controlling,Sanacorp Pharmahandel GmbH,Planegg,"Wir bei Sanacorp gestalten die Zukunft der Apotheken aktiv mit – als Genossenschaft verwurzelt in Tradition und voller Energie für morgen. Mit rund 3.000 Beschäftigten in 19 Niederlassungen sorgen wir dafür, dass mehr als 8.000 Apotheken im gesamten Bundesgebiet rund um die Uhr sicher und zuverlässi...",Not specified,https://karriere.sanacorp.de/Business-Intelligence-Data-Analyst-mwd-im-Controlling-de-j1876.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,11 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgLyBEYXRhIEFuYWx5c3QgKG0vdy9kKSBpbSBDb250cm9sbGluZyIsImNvbXBhbnlfbmFtZSI6IlNhbmFjb3JwIFBoYXJtYWhhbmRlbCBHbWJIIiwiYWRkcmVzc19jaXR5IjoiUGxhbmVnZyIsImh0aWRvY2lkIjoibGNIX2wxV1k4d3dFbWZaekFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUWFZ1YVdOb0xFSmhkbUZ5YVdFc1IyVnliV0Z1ZVEiLCJnbCI6ImRlIiwiaGwiOiJlbiJ9,"Munich, Germany",2025-10-26 12:03:36,business intelligence analyst,Business Intelligence Analyst
Oliver Wyman - Data & Analytics Consulting - Analyst (m/f/d) - Berlin,Oliver Wyman Group,Hamburg (+4 others),"Who We Are

Oliver Wyman is a global management consultancy working across all areas of industry, financial services, government, and non-profit organizations. Clients approach us with their most significant challenges, and we assemble teams of experts to address each facet of these complex issues. ...",Not specified,https://careers.marshmclennan.com/eu/en/job/R_326123/Oliver-Wyman-Data-Analytics-Consulting-Analyst-m-f-d-Berlin?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,10 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJPbGl2ZXIgV3ltYW4gLSBEYXRhIFx1MDAyNiBBbmFseXRpY3MgQ29uc3VsdGluZyAtIEFuYWx5c3QgKG0vZi9kKSAtIEJlcmxpbiIsImNvbXBhbnlfbmFtZSI6Ik9saXZlciBXeW1hbiBHcm91cCIsImFkZHJlc3NfY2l0eSI6IkhhbWJ1cmciLCJodGlkb2NpZCI6ImxTSmdaYmd1MFBUeGhQUWhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lQU0dGdFluVnlaeXhIWlhKdFlXNTUiLCJnbCI6ImRlIiwiaGwiOiJlbiJ9,"Hamburg, Germany",2025-10-26 12:04:11,entry level data analyst,Entry Level Data Analyst
[ref. c60221420] Working Student - Business Intelligence Analyst (f/m/d),adjoe GmbH,Hamburg,adjoe is a leading mobile ad platform developing cutting-edge advertising and monetization solutions that take its app partners’ business to the next level. Our unique ad unit Playtime has made us one of the fastest-growing ad platforms and top-ranking user acquisition sources for app publishers wor...,Not specified,https://de.jobted.com/job/fbf58d95fce9b53fc3de918447b1e566?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,13 days ago,Google Jobs,eyJqb2JfdGl0bGUiOiJbcmVmLiBjNjAyMjE0MjBdIFdvcmtpbmcgU3R1ZGVudCAtIEJ1c2luZXNzIEludGVsbGlnZW5jZSBBbmFseXN0IChmL20vZCkiLCJjb21wYW55X25hbWUiOiJhZGpvZSBHbWJIIiwiYWRkcmVzc19jaXR5IjoiSGFtYnVyZyIsImh0aWRvY2lkIjoibDVEVWNYeVZVc0c0cG5kbEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVBTR0Z0WW5WeVp5eEhaWEp0WVc1NSIsImdsIjoiZGUiLCJobCI6ImVuIn0=,"Hamburg, Germany",2025-10-26 12:04:11,entry level data analyst,Entry Level Data Analyst
